ID,name,FoodGroup,Calories,Fat,Protein,Carbohydrate
926,Fish Milkfish Raw,Fish,148,6.73,20.53,0
927,Fish Monkfish Raw,Fish,76,1.52,14.48,0
928,Fish Pout Ocean Raw,Fish,79,0.91,16.64,0
929,Fish Perch Mixed Species Raw,Fish,91,0.92,19.39,0
930,Fish Perch Mixed Species Cooked Dry Heat,Fish,117,1.18,24.86,0
931,Fish Pike Northern Raw,Fish,88,0.69,19.26,0
932,Cooked Alaska Pollock,Fish,111,1.18,23.48,0
933,Fish Pompano Florida Raw,Fish,164,9.47,18.48,0
934,Cooked Pompano,Fish,211,12.14,23.69,0
935,Fish Rockfish Pacific Mixed Species Raw,Fish,90,1.34,18.36,0
936,Fish Sablefish Smoked,Fish,257,20.14,17.65,0
937,Wild Atlantic Salmon (Raw),Fish,142,6.34,19.84,0
938,Smoked Salmon,Fish,117,4.32,18.28,0
939,Fish Salmon Chinook Raw,Fish,179,10.43,19.93,0
940,Fish Salmon Chum Raw,Fish,120,3.77,20.14,0
941,Fish Salmon Pink Canned Total Can Contents,Fish,129,4.97,19.68,0
942,Fish Salmon Sockeye Raw,Fish,131,4.69,22.25,0
943,Cooked Sockeye Salmon,Fish,156,5.57,26.48,0
944,Canned Salmon,Fish,167,7.39,23.59,0
945,Cooked Sea Bass,Fish,124,2.56,23.63,0
946,Fish Seatrout Mixed Species Raw,Fish,104,3.61,16.74,0
947,Fish Shad American Raw,Fish,197,13.77,16.93,0
948,Fish Shark Mixed Species Raw,Fish,130,4.51,20.98,0
949,Fish Snapper Mixed Species Raw,Fish,100,1.34,20.51,0
950,Cooked Snapper,Fish,128,1.72,26.3,0
951,Fish Spot Raw,Fish,123,4.9,18.51,0
952,Fish Sturgeon Mixed Species Raw,Fish,105,4.04,16.14,0
953,Fish Swordfish Raw,Fish,144,6.65,19.66,0
954,Cooked Swordfish,Fish,172,7.93,23.45,0
955,Fish Tilefish Raw,Fish,96,2.31,17.5,0
956,Bluefin Tuna (Raw),Fish,144,4.9,23.33,0
957,Bluefin Tuna (Cooked),Fish,184,6.28,29.91,0
958,Fish Tuna Light Canned In Oil Drained Solids,Fish,198,8.21,29.13,0
959,Fish Tuna Light Canned In Water Drained Solids,Fish,86,0.96,19.44,0
960,Fish Turbot European Raw,Fish,95,2.95,16.05,0
961,Whitefish (Raw),Fish,134,5.86,19.09,0
962,Smoked Whitefish,Fish,108,0.93,23.4,0
963,Raw Whiting,Fish,90,1.31,18.31,0
964,Cooked Catfish,Fish,105,2.85,18.47,0
965,Raw Coho Salmon,Fish,160,7.67,21.27,0
966,Cooked Coho Salmon (Farmed),Fish,178,8.23,24.3,0
967,Rainbow Trout (Raw),Fish,141,6.18,19.94,0
968,Cooked Rainbow Trout,Fish,168,7.38,23.8,0
969,Cooked Coho Salmon (Wild),Fish,139,4.3,23.45,0
970,Canned Sockeye Salmon,Fish,158,5.87,26.33,0
971,Canned Pink Salmon,Fish,136,4.21,24.62,0
972,Fish Pollock Alaska Raw (Not Previously Frozen),Fish,76,0.82,17.17,0
973,Fish Pollock Alaska Cooked (Not Previously Frozen),Fish,86.616,0.995,19.42,0
974,Anchovies (Raw),Fish,131,4.84,20.35,0
975,Canned Anchovies,Fish,210,9.71,28.89,0
976,Fresh Water Bass (Raw),Fish,114,3.69,18.86,0
977,Fish Carp Cooked Dry Heat,Fish,162,7.17,22.86,0
978,Fish Catfish Channel Wild Raw,Fish,95,2.82,16.38,0
979,Canned Atlantic Cod,Fish,105,0.86,22.76,0
980,Dried Salted Atlantic Cod,Fish,290,2.37,62.82,0
981,Fish Cod Pacific Raw (May Have Been Previously Frozen),Fish,69,0.41,15.27,0
982,Fish Croaker Atlantic Raw,Fish,104,3.17,17.78,0
983,Fish Eel Mixed Species Raw,Fish,184,11.66,18.44,0
984,Cooked Eel,Fish,236,14.95,23.65,0
985,Fish Flatfish (Flounder And Sole Species) Raw,Fish,70,1.93,12.41,0
986,Flat Fish (Flounder Or Sole),Fish,86,2.37,15.24,0
987,Cooked Haddock,Fish,90,0.55,19.99,0
988,Smoked Haddock,Fish,116,0.96,25.23,0
989,Fish Halibut Atlantic And Pacific Raw,Fish,91,1.33,18.56,0
990,Cooked Halibut,Fish,111,1.61,22.54,0
991,Alaskan King Crab,Fish,97,1.54,19.35,0
992,Blue Crab,Fish,83,0.74,17.88,0
993,Crustaceans Crayfish Mixed Species Wild Raw,Fish,77,0.95,15.97,0
994,Crayfish,Fish,82,1.2,16.77,0
995,Crustaceans Lobster Northern Raw,Fish,77,0.75,16.52,0
996,Lobster (Cooked),Fish,89,0.86,19,0
997,Fish Salmon Chum Canned Without Salt Drained Solids With Bone,Fish,141,5.5,21.43,0
998,Fish Salmon Pink Canned Without Salt Solids With Bone And Liquid,Fish,139,6.05,19.78,0
999,Canned Sockeye Salmon (With Bones),Fish,153,7.31,20.47,0
1000,Fish Tuna Light Canned In Oil Without Salt Drained Solids,Fish,198,8.21,29.13,0
1001,Cooked Striped Bass,Fish,124,2.99,22.73,0
1002,Fish Bluefish Cooked Dry Heat,Fish,159,5.44,25.69,0
1003,Fish Burbot Cooked Dry Heat,Fish,115,1.04,24.76,0
1004,Fish Butterfish Cooked Dry Heat,Fish,187,10.28,22.15,0
1005,Fish Halibut Greenland Cooked Dry Heat,Fish,239,17.74,18.42,0
1006,Cooked Pacific Herring,Fish,250,17.79,21.01,0
1007,Fish Ling Cooked Dry Heat,Fish,111,0.82,24.35,0
1008,Cooked Lingcod,Fish,109,1.36,22.64,0
1009,Cooked King Mackerel,Fish,134,2.56,26,0
1010,Cooked Pollock,Fish,118,1.26,24.92,0
1011,Fish Pout Ocean Cooked Dry Heat,Fish,102,1.17,21.33,0
1012,Cooked Sablefish,Fish,250,19.62,17.19,0
1013,Fish Scup Cooked Dry Heat,Fish,135,3.5,24.21,0
1014,Fish Seatrout Mixed Species Cooked Dry Heat,Fish,133,4.63,21.46,0
1015,Fish Shad American Cooked Dry Heat,Fish,252,17.65,21.71,0
1016,Fish Spot Cooked Dry Heat,Fish,158,6.28,23.73,0
1017,Cooked Turbot,Fish,122,3.78,20.58,0
1018,Cooked Whitefish,Fish,172,7.51,24.47,0
1019,Fish Wolffish Atlantic Cooked Dry Heat,Fish,123,3.06,22.44,0
1020,Cooked Yellowtail,Fish,187,6.72,29.67,0
1021,Cooked Orange Roughy,Fish,105,0.9,22.64,0
1022,Fish Herring Atlantic Raw,Fish,158,9.04,17.96,0
1023,Atlantic Herring,Fish,203,11.59,23.03,0
1024,Atlantic Mackerel (Raw),Fish,205,13.89,18.6,0
1025,Atlantic Mackerel (Cooked),Fish,262,17.81,23.85,0
1026,Fish Mackerel Jack Canned Drained Solids,Fish,156,6.3,23.19,0
1027,Fish Mackerel King Raw,Fish,105,2,20.28,0
1028,Fish Mullet Striped Raw,Fish,117,3.79,19.35,0
1029,Fish Mullet Striped Cooked Dry Heat,Fish,150,4.86,24.81,0
1030,Fish Ocean Perch Atlantic Raw,Fish,79,1.54,15.31,0
1031,Cooked Atlantic Perch,Fish,96,1.87,18.51,0
1032,Cooked Northern Pike,Fish,113,0.88,24.69,0
1033,Fish Pike Walleye Raw,Fish,93,1.22,19.14,0
1034,Fish Pollock Atlantic Raw,Fish,92,0.98,19.44,0
1035,Fish Pollock Alaska Raw (May Have Been Previously Frozen),Fish,56,0.41,12.19,0
1036,Fish Rockfish Pacific Mixed Species Cooked Dry Heat,Fish,109,1.62,22.23,0
1037,Fish Roughy Orange Raw,Fish,76,0.7,16.41,0
1038,Fish Sablefish Raw,Fish,195,15.3,13.41,0
1039,Fish Salmon Chum Canned Drained Solids With Bone,Fish,141,5.5,21.43,0
1040,Fish Salmon Coho Wild Raw,Fish,146,5.93,21.62,0
1041,Cooked Coho Salmon (Wild Moist Heat),Fish,184,7.5,27.36,0
1042,Pink Salmon (Raw),Fish,127,4.4,20.5,0
1043,Canned Sardines,Fish,208,11.45,24.62,0
1044,Fish Scup Raw,Fish,105,2.73,18.88,0
1045,Fish Sea Bass Mixed Species Raw,Fish,97,2,18.43,0
1046,Fish Sheepshead Raw,Fish,108,2.41,20.21,0
1047,Fish Sheepshead Cooked Dry Heat,Fish,126,1.63,26.02,0
1048,Fish Smelt Rainbow Raw,Fish,97,2.42,17.63,0
1049,Cooked Smelt,Fish,124,3.1,22.6,0
1050,Cooked Sturgeon,Fish,135,5.18,20.7,0
1051,Smoked Sturgeon,Fish,173,4.4,31.2,0
1052,Fish Sucker White Raw,Fish,92,2.32,16.76,0
1053,Fish Sunfish Pumpkin Seed Raw,Fish,89,0.7,19.4,0
1054,Cooked Tilefish,Fish,147,4.69,24.49,0
1055,Fish Trout Mixed Species Raw,Fish,148,6.61,20.77,0
1056,Fish Trout Rainbow Wild Raw,Fish,119,3.46,20.48,0
1057,Cooked Trout,Fish,150,5.82,22.92,0
1058,Skipjack Tuna (Raw),Fish,103,1.01,22,0
1059,Canned White Tuna (Oil Packed),Fish,186,8.08,26.53,0
1060,Canned White Tuna (Water Packed),Fish,128,2.97,23.62,0
1061,Yellowfin Tuna (Raw),Fish,109,0.49,24.4,0
1062,Cooked Whiting,Fish,116,1.69,23.48,0
1063,Fish Wolffish Atlantic Raw,Fish,96,2.39,17.5,0
1064,Yellowtail (Raw),Fish,146,5.24,23.14,0
1065,Crustaceans Crab Alaska King Raw,Fish,84,0.6,18.29,0
1066,Fish Catfish Channel Farmed Raw,Fish,119,5.94,15.23,0
1067,Fish Catfish Channel Farmed Cooked Dry Heat,Fish,144,7.19,18.44,0
1068,Farmed Atlantic Salmon (Raw),Fish,208,13.42,20.42,0
1069,Farmed Atlantic Salmon,Fish,206,12.35,22.1,0
1070,Crustaceans Crayfish Mixed Species Farmed Raw,Fish,72,0.97,14.85,0
1071,Cooked Crayfish,Fish,87,1.3,17.52,0
1072,Canned Sockeye Salmon (With Skin And Bones),Fish,153,7.17,20.63,0
1073,Canned Pink Salmon (With Skin And Bones),Fish,138,5.02,23.1,0
1074,Raw Tilapia,Fish,96,1.7,20.08,0
1075,Cooked Tilapia,Fish,128,2.65,26.15,0
1076,Cooked Cod,Fish,84,0.25,20.42,0
1077,Crustaceans Shrimp Raw (Not Previously Frozen),Fish,85,0.51,20.1,0
1078,Fish Trout Brook Raw New York State,Fish,110,2.73,21.23,0
1079,Fish Ns As To Type Raw,Fish,109,3.57,18.12,0
1080,Fish Ns As To Type Steamed,Fish,160,5.53,25.78,0
1081,Barracuda Steamed Or Poached,Fish,199,9.92,25.24,0
1082,Carp Steamed Or Poached,Fish,160,7.04,22.42,0
1083,Carp Smoked,Fish,198,8.74,27.84,0
1084,Catfish Steamed Or Poached,Fish,150,7.47,19.15,0
1085,Cod Steamed Or Poached,Fish,87,0.52,19.2,0
1086,Cod Smoked,Fish,108,0.64,23.91,0
1087,Croaker Steamed Or Poached,Fish,131,3.99,22.36,0
1088,Eel Steamed Or Poached,Fish,231,14.66,23.19,0
1089,Eel Smoked,Fish,287,18.17,28.73,0
1090,Flounder Steamed Or Poached,Fish,88,2.43,15.61,0
1091,Flounder Smoked,Fish,169,4.66,29.98,0
1092,Haddock Steamed Or Poached,Fish,93,0.57,20.52,0
1093,Halibut Steamed Or Poached,Fish,114,1.67,23.34,0
1094,Halibut Smoked,Fish,219,3.2,44.61,0
1095,Herring Dried Salted,Fish,490,28.04,55.71,0
1096,Mackerel Raw,Fish,189,11.91,19.08,0
1097,Mackerel Smoked,Fish,200,10.04,25.54,0
1098,Mullet Steamed Or Poached,Fish,147,4.77,24.33,0
1099,Ocean Perch Steamed Or Poached,Fish,99,1.94,19.25,0
1100,Perch Steamed Or Poached,Fish,114,1.16,24.38,0
1101,Pike Steamed Or Poached,Fish,111,0.87,24.22,0
1102,Pompano Steamed Or Poached,Fish,206,11.91,23.24,0
1103,Pompano Smoked,Fish,192,11.06,21.58,0
1104,Porgy Steamed Or Poached,Fish,132,3.43,23.74,0
1105,Ray Steamed Or Poached,Fish,163,5.67,26.38,0
1106,Salmon Steamed Or Poached,Fish,160,5.53,25.78,0
1107,Salmon Dried,Fish,397,13.75,64.06,0
1108,Salmon Canned,Fish,137,5.48,20.55,0
1109,Sardines Dried,Fish,406,23.18,46.06,0
1110,Sea Bass Steamed Or Poached,Fish,122,2.52,23.18,0
1111,Shark Steamed Or Poached,Fish,163,5.67,26.38,0
1112,Sturgeon Steamed,Fish,132,5.08,20.3,0
1113,Swordfish Steamed Or Poached,Fish,181,8.36,24.72,0
1114,Trout Steamed Or Poached,Fish,177,7.77,25.08,0
1115,Trout Smoked,Fish,251,10.99,35.47,0
1116,Tuna Fresh Steamed Or Poached,Fish,137,0.62,30.68,0
1117,Tuna Fresh Dried,Fish,341,1.53,76.25,0
1118,Tuna Fresh Smoked,Fish,200,10.04,25.54,0
1119,Whiting Steamed Or Poached,Fish,113,1.65,23.02,0
1120,Tilapia Steamed Or Poached,Fish,121,2.14,25.25,0
1121,Frog Legs Steamed,Fish,92,0.38,20.62,0
1122,Crab Cooked Ns As To Cooking Method,Fish,82,0.74,17.76,0
1123,Crab Hard Shell Steamed,Fish,82,0.74,17.76,0
1124,Crayfish Boiled Or Steamed,Fish,81,1.19,16.66,0
1125,Lobster Cooked Ns As To Cooking Method,Fish,88,0.85,18.88,0
1126,Lobster Steamed Or Boiled,Fish,88,0.85,18.88,0
1127,Shrimp Dried,Fish,253,3.44,51.7,0
1128,Lau Lau,Fish,140,8.32,15.25,0
1129,Lobster With Butter Sauce,Fish,159,9.78,16.98,0.01
1130,Crustaceans Crab Blue Raw,Fish,87,1.08,18.06,0.04
1131,Turtle Cooked Ns As To Cooking Method,Fish,138,4.18,23.62,0.09
1132,Crab Baked Or Broiled Fat Added In Cooking,Fish,131,4.47,21.33,0.09
1133,Lobster Baked Or Broiled Fat Added In Cooking,Fish,124,4.48,19.71,0.09
1134,Mollusks Clam Mixed Species Canned Liquid,Fish,2,0.02,0.4,0.1
1135,Fish Ns As To Type Cooked Ns As To Cooking Method,Fish,166,8.04,22.16,0.1
1136,Fish Ns As To Type Baked Or Broiled Made With Oil,Fish,166,8.04,22.16,0.1
2980,Fish Ns As To Type Baked Or Broiled Made With Butter,Fish,160,7.46,22.17,0.1
2981,Fish Ns As To Type Baked Or Broiled Made Without Fat,Fish,137,4.5,22.82,0.1
2982,Barracuda Cooked Ns As To Cooking Method,Fish,226,13.33,24.56,0.1
2983,Barracuda Baked Or Broiled Fat Added In Cooking,Fish,226,13.33,24.56,0.1
2984,Barracuda Baked Or Broiled Fat Not Added In Cooking,Fish,199,9.94,25.28,0.1
2985,Carp Baked Or Broiled Fat Added In Cooking,Fish,188,10.53,21.82,0.1
2986,Carp Baked Or Broiled Fat Not Added In Cooking,Fish,160,7.06,22.46,0.1
2987,Catfish Baked Or Broiled Made With Oil,Fish,178,10.94,18.64,0.1
2988,Catfish Baked Or Broiled Made With Butter,Fish,173,10.36,18.65,0.1
2989,Catfish Baked Or Broiled Made Without Fat,Fish,150,7.48,19.18,0.1
2990,Cod Cooked Ns As To Cooking Method,Fish,117,4.18,18.68,0.1
2991,Cod Baked Or Broiled Made With Oil,Fish,117,4.18,18.68,0.1
2992,Cod Baked Or Broiled Made With Butter,Fish,112,3.6,18.7,0.1
2993,Cod Baked Or Broiled Made Without Fat,Fish,87,0.52,19.24,0.1
2994,Croaker Cooked Ns As To Cooking Method,Fish,160,7.56,21.76,0.1
2995,Croaker Baked Or Broiled Fat Added In Cooking,Fish,160,7.56,21.76,0.1
2996,Croaker Baked Or Broiled Fat Not Added In Cooking,Fish,131,4,22.4,0.1
2997,Flounder Baked Or Broiled Made With Oil,Fish,118,6.04,15.19,0.1
2998,Flounder Baked Or Broiled Made With Butter,Fish,113,5.46,15.2,0.1
2999,Flounder Baked Or Broiled Made Without Fat,Fish,88,2.43,15.63,0.1
3000,Haddock Cooked Ns As To Cooking Method,Fish,123,4.23,19.97,0.1
3001,Haddock Baked Or Broiled Fat Added In Cooking,Fish,123,4.23,19.97,0.1
3002,Haddock Baked Or Broiled Fat Not Added In Cooking,Fish,94,0.57,20.56,0.1
3003,Halibut Cooked Ns As To Cooking Method,Fish,144,5.3,22.71,0.1
3004,Halibut Baked Or Broiled Made With Oil,Fish,144,5.3,22.71,0.1
3005,Halibut Baked Or Broiled Made With Butter,Fish,139,4.73,22.72,0.1
3006,Halibut Baked Or Broiled Made Without Fat,Fish,115,1.68,23.38,0.1
3007,Herring Cooked Ns As To Cooking Method,Fish,226,14.74,21.98,0.1
3008,Herring Baked Or Broiled Fat Added In Cooking,Fish,226,14.74,21.98,0.1
3009,Herring Baked Or Broiled Fat Not Added In Cooking,Fish,199,11.39,22.62,0.1
3010,Mackerel Cooked Ns As To Cooking Method,Fish,264,18.22,23.36,0.1
3011,Mackerel Baked Or Broiled Fat Added In Cooking,Fish,264,18.22,23.36,0.1
3012,Mackerel Baked Or Broiled Fat Not Added In Cooking,Fish,239,14.98,24.05,0.1
3013,Mullet Baked Or Broiled Fat Added In Cooking,Fish,176,8.31,23.68,0.1
3014,Mullet Baked Or Broiled Fat Not Added In Cooking,Fish,148,4.78,24.37,0.1
3015,Ocean Perch Cooked Ns As To Cooking Method,Fish,129,5.56,18.73,0.1
3016,Ocean Perch Baked Or Broiled Fat Added In Cooking,Fish,129,5.56,18.73,0.1
3017,Ocean Perch Baked Or Broiled Fat Not Added In Cooking,Fish,100,1.94,19.29,0.1
3018,Perch Baked Or Broiled Made With Oil,Fish,144,4.8,23.72,0.1
3019,Perch Baked Or Broiled Made With Butter,Fish,139,4.23,23.73,0.1
3020,Perch Baked Or Broiled Made Without Fat,Fish,115,1.16,24.42,0.1
3021,Pike Baked Or Broiled Fat Added In Cooking,Fish,140,4.52,23.56,0.1
3022,Pike Baked Or Broiled Fat Not Added In Cooking,Fish,111,0.87,24.26,0.1
3023,Pompano Cooked Ns As To Cooking Method,Fish,233,15.26,22.61,0.1
3024,Pompano Baked Or Broiled Fat Added In Cooking,Fish,233,15.26,22.61,0.1
3025,Pompano Baked Or Broiled Fat Not Added In Cooking,Fish,207,11.93,23.28,0.1
3026,Porgy Cooked Ns As To Cooking Method,Fish,161,7.02,23.1,0.1
3027,Porgy Baked Or Broiled Fat Added In Cooking,Fish,161,7.02,23.1,0.1
3028,Porgy Baked Or Broiled Fat Not Added In Cooking,Fish,133,3.44,23.78,0.1
3029,Ray Cooked Ns As To Cooking Method,Fish,192,9.2,25.67,0.1
3030,Ray Baked Or Broiled Fat Added In Cooking,Fish,192,9.2,25.67,0.1
3031,Ray Baked Or Broiled Fat Not Added In Cooking,Fish,164,5.68,26.43,0.1
3032,Salmon Cooked Ns As To Cooking Method,Fish,188,9.06,25.08,0.1
3033,Salmon Baked Or Broiled Made With Oil,Fish,188,9.06,25.08,0.1
3034,Salmon Baked Or Broiled Made With Butter,Fish,183,8.48,25.08,0.1
3035,Salmon Baked Or Broiled Made Without Fat,Fish,160,5.54,25.82,0.1
3036,Sea Bass Cooked Ns As To Cooking Method,Fish,152,6.12,22.55,0.1
3037,Sea Bass Baked Or Broiled Fat Added In Cooking,Fish,152,6.12,22.55,0.1
3038,Sea Bass Baked Or Broiled Fat Not Added In Cooking,Fish,122,2.52,23.22,0.1
3039,Shark Cooked Ns As To Cooking Method,Fish,192,9.2,25.67,0.1
3040,Shark Baked Or Broiled Fat Added In Cooking,Fish,192,9.2,25.67,0.1
3041,Shark Baked Or Broiled Fat Not Added In Cooking,Fish,164,5.68,26.43,0.1
3042,Sturgeon Cooked Ns As To Cooking Method,Fish,161,8.62,19.75,0.1
3043,Sturgeon Baked Or Broiled Fat Added In Cooking,Fish,161,8.62,19.75,0.1
3044,Swordfish Cooked Ns As To Cooking Method,Fish,209,11.81,24.06,0.1
3045,Swordfish Baked Or Broiled Fat Added In Cooking,Fish,209,11.81,24.06,0.1
3046,Swordfish Baked Or Broiled Fat Not Added In Cooking,Fish,182,8.38,24.76,0.1
3047,Trout Cooked Ns As To Cooking Method,Fish,205,11.24,24.4,0.1
3048,Trout Baked Or Broiled Made With Oil,Fish,205,11.24,24.4,0.1
3049,Trout Baked Or Broiled Made With Butter,Fish,200,10.65,24.4,0.1
3050,Trout Baked Or Broiled Made Without Fat,Fish,178,7.79,25.12,0.1
3051,Tuna Fresh Cooked Ns As To Cooking Method,Fish,166,4.28,29.85,0.1
3052,Tuna Fresh Baked Or Broiled Fat Added In Cooking,Fish,166,4.28,29.85,0.1
3053,Tuna Fresh Baked Or Broiled Fat Not Added In Cooking,Fish,138,0.62,30.73,0.1
3054,Whiting Baked Or Broiled Made With Oil,Fish,143,5.28,22.4,0.1
3055,Whiting Baked Or Broiled Made With Butter,Fish,138,4.7,22.41,0.1
3056,Whiting Baked Or Broiled Made Without Fat,Fish,114,1.65,23.06,0.1
3057,Tilapia Cooked Ns As To Cooking Method,Fish,150,5.76,24.57,0.1
3058,Tilapia Baked Or Broiled Made With Oil,Fish,150,5.76,24.57,0.1
3059,Tilapia Baked Or Broiled Made With Butter,Fish,145,5.18,24.57,0.1
3060,Tilapia Baked Or Broiled Made Without Fat,Fish,121,2.14,25.29,0.1
3061,Crab Baked Or Broiled Fat Not Added In Cooking,Fish,102,0.91,21.96,0.1
3062,Lobster Baked Or Broiled Fat Not Added In Cooking,Fish,95,0.92,20.29,0.1
3063,Fish Ns As To Type Baked Or Broiled Made With Margarine,Fish,153,6.67,22.14,0.13
3064,Catfish Baked Or Broiled Made With Margarine,Fish,166,9.56,18.61,0.13
3065,Cod Baked Or Broiled Made With Margarine,Fish,105,2.81,18.66,0.13
3066,Flounder Baked Or Broiled Made With Margarine,Fish,106,4.67,15.17,0.13
3067,Halibut Baked Or Broiled Made With Margarine,Fish,132,3.93,22.68,0.13
3068,Perch Baked Or Broiled Made With Margarine,Fish,132,3.43,23.7,0.13
3069,Salmon Baked Or Broiled Made With Margarine,Fish,176,7.68,25.05,0.13
3070,Trout Baked Or Broiled Made With Margarine,Fish,193,9.86,24.37,0.13
3071,Whiting Baked Or Broiled Made With Margarine,Fish,131,3.91,22.38,0.13
3072,Tilapia Baked Or Broiled Made With Margarine,Fish,138,4.38,24.54,0.13
3073,Crustaceans Shrimp Cooked (Not Previously Frozen),Fish,99,0.28,23.98,0.2
3074,Fish Ns As To Type Baked Or Broiled Made With Cooking Spray,Fish,140,4.87,22.73,0.2
3075,Catfish Baked Or Broiled Made With Cooking Spray,Fish,154,7.85,19.11,0.2
3076,Cod Baked Or Broiled Made With Cooking Spray,Fish,91,0.91,19.16,0.2
3077,Flounder Baked Or Broiled Made With Cooking Spray,Fish,92,2.82,15.57,0.2
3078,Halibut Baked Or Broiled Made With Cooking Spray,Fish,118,2.06,23.29,0.2
3079,Perch Baked Or Broiled Made With Cooking Spray,Fish,118,1.55,24.33,0.2
3080,Salmon Baked Or Broiled Made With Cooking Spray,Fish,164,5.92,25.72,0.2
3081,Trout Baked Or Broiled Made With Cooking Spray,Fish,181,8.15,25.02,0.2
3082,Whiting Baked Or Broiled Made With Cooking Spray,Fish,117,2.04,22.98,0.2
3083,Tilapia Baked Or Broiled Made With Cooking Spray,Fish,125,2.53,25.2,0.2
3084,Blue Crab Cakes,Fish,155,7.52,20.21,0.48
3085,Fish Sardine Pacific Canned In Tomato Sauce Drained Solids With Bone,Fish,185,10.45,20.86,0.54
3086,Dungeness Crab (Raw),Fish,86,0.97,17.41,0.74
3087,Mollusks Cuttlefish Mixed Species Raw,Fish,79,0.7,16.24,0.82
3088,Crustaceans Shrimp Mixed Species Raw (May Have Been Previously Frozen),Fish,71,1.01,13.61,0.91
3089,Cooked Dungeness Crab,Fish,110,1.24,22.32,0.95
3090,Gefilte Fish,Fish,113,3.8,17.52,1.03
3091,Lobster Salad,Fish,187,15.4,10.33,1.15
3092,Shrimp Steamed Or Boiled,Fish,91,1.29,17.37,1.16
3093,Shrimp Baked Or Broiled Made With Oil,Fish,117,4.79,16.24,1.18
3094,Shrimp Baked Or Broiled Made With Butter,Fish,112,4.23,16.25,1.18
3095,Seafood Salad,Fish,191,15.95,10.08,1.18
3096,Crab Salad,Fish,187,15.89,9.44,1.19
3097,Shrimp Baked Or Broiled Made With Margarine,Fish,105,3.45,16.22,1.21
3098,Shrimp Baked Or Broiled Made Without Fat,Fish,87,1.24,16.72,1.21
3099,Shrimp Salad,Fish,199,16.6,10.47,1.22
3100,Shrimp Baked Or Broiled Made With Cooking Spray,Fish,91,1.62,16.65,1.31
3101,Fish Roe,Fish,143,6.42,22.32,1.5
3102,Cooked Shrimp,Fish,119,1.7,22.78,1.52
3103,Fish With Tomato-Based Sauce,Fish,80,0.69,16.28,1.59
3104,Cooked Cuttlefish,Fish,158,1.4,32.48,1.64
3105,Baked Conch,Fish,130,1.2,26.3,1.7
3106,Fish Timbale Or Mousse,Fish,148,10.97,10.22,1.75
3107,Shrimp Scampi,Fish,195,11.73,19.7,1.77
3108,Fish Roe (Cooked),Fish,204,8.23,28.62,1.92
3109,Roe Shad Cooked,Fish,208,11.53,27.31,1.93
3110,Mollusks Snail Raw,Fish,90,1.4,16.1,2
3111,Bouillabaisse,Fish,98,3.7,13.43,2.15
3112,Mollusks Octopus Common Raw,Fish,82,1.04,14.91,2.2
3113,Shrimp With Lobster Sauce,Fish,150,7.76,16.79,2.22
3114,Seafood Garden Salad With Seafood Lettuce Eggs Vegetables Excluding Tomato And Carrots No Dressing,Fish,62,2.06,8.41,2.32
3115,Shrimp Garden Salad Shrimp Lettuce Eggs Vegetables Excluding Tomato And Carrots No Dressing,Fish,64,2.17,8.7,2.34
3116,Crustaceans Spiny Lobster Mixed Species Raw,Fish,112,1.51,20.6,2.43
3117,Snails Cooked Ns As To Cooking Method,Fish,139,5.26,19.21,2.48
3118,Shrimp In Garlic Sauce Puerto Rican Style,Fish,277,24.7,11.58,2.52
3119,Seafood Garden Salad With Seafood Lettuce Vegetables Excluding Tomato And Carrots No Dressing,Fish,45,0.5,7.64,2.54
3120,Clam Sauce White,Fish,196,16.95,8.57,2.57
3121,Tuna Cake Or Patty,Fish,206,14.89,15.66,2.57
3122,Crab Cake,Fish,205,14.75,14.57,2.58
3123,Salmon Cake Or Patty,Fish,246,18.16,17.12,2.58
3124,Tuna Salad With Egg,Fish,191,15.41,10.53,2.63
3125,Salmon Salad,Fish,212,17.36,10.86,2.66
3126,Seafood Garden Salad With Seafood Lettuce Eggs Tomato And/or Carrots Other Vegetables No Dressing,Fish,60,1.95,7.89,2.7
3127,Mollusks Oyster Eastern Wild Raw,Fish,51,1.71,5.71,2.72
3128,Shrimp Garden Salad Shrimp Lettuce Eggs Tomato And/or Carrots Other Vegetables No Dressing,Fish,62,2.05,8.17,2.72
3129,Fish With Cream Or White Sauce Not Tuna Or Lobster,Fish,117,3.77,17.05,2.74
3130,Tuna With Cream Or White Sauce,Fish,104,3.85,14.73,2.75
3131,Tuna Salad Made With Mayonnaise,Fish,194,15.86,10.34,2.77
3132,Tuna Salad With Cheese,Fish,214,17.52,11.54,2.8
3133,Codfish Salad Puerto Rican Style Serenata,Fish,176,15.48,6.65,2.83
3134,Squid Pickled,Fish,93,1.32,14.93,2.96
3135,Crabs In Tomato-Based Sauce Puerto Rican Style,Fish,140,8.62,12.54,2.97
3136,Seafood Garden Salad With Seafood Lettuce Tomato And/or Carrots Other Vegetables No Dressing,Fish,44,0.48,7.1,2.97
3137,Squid (Raw),Fish,92,1.38,15.58,3.08
3138,Cooked Spiny Lobster,Fish,143,1.94,26.41,3.12
3139,Raw Scallops,Fish,69,0.49,12.06,3.18
3140,Crab Imperial,Fish,137,7.32,13.94,3.22
3141,Lomi Salmon,Fish,60,1.86,7.55,3.31
3142,Oysters Baked Or Broiled Fat Added In Cooking,Fish,93,5.62,6.82,3.34
